value,topic_title,category,season
150,Torrid,clothing,Spring
150,Sun protective clothing,clothing,Spring
150,Blair,clothing,Spring
120,Avenue,clothing,Spring
100,Linen,clothing,Spring
100,Plus-size clothing,clothing,Spring
90,H&M,clothing,Spring
90,Cider,clothing,Spring
90,Sleeveless shirt,clothing,Spring
80,Revolve,clothing,Spring
80,Zara,clothing,Spring
80,Custom,clothing,Spring
80,Anthropologie,clothing,Spring
80,Anthropologie,clothing,Spring
70,Urban Outfitters,clothing,Spring
60,Clothing brand,clothing,Spring
24700,Poshmark,blouses,Spring
450,Capri pants,blouses,Spring
250,Lulus,blouses,Spring
160,Old Navy,blouses,Spring
160,Talbots,blouses,Spring
150,Linen,blouses,Spring
140,Summer,blouses,Spring
140,Nordstrom Rack,blouses,Spring
140,Kohl's,blouses,Spring
120,J.Jill,blouses,Spring
120,Overskirt,blouses,Spring
120,Lane Bryant,blouses,Spring
120,Woman Within,blouses,Spring
100,JCPenney,blouses,Spring
100,Grommet,blouses,Spring
100,T.J. Maxx,blouses,Spring
90,Banana Republic,blouses,Spring
90,Zara,blouses,Spring
90,H&M,blouses,Spring
90,Gap,blouses,Spring
90,Rayon,blouses,Spring
80,J.Crew,blouses,Spring
80,Macy's,blouses,Spring
60,Plus-size clothing,blouses,Spring
3800,Denim & Rhinestones,denim,Spring
950,Denim Day,denim,Spring
190,Capri pants,denim,Spring
180,Bermuda shorts,denim,Spring
170,Coach New York,denim,Spring
120,Jean Shorts,denim,Spring
110,Shorts,denim,Spring
100,Banana Republic,denim,Spring
100,Romper suit,denim,Spring
90,Old Navy,denim,Spring
90,Abercrombie & Fitch,denim,Spring
90,Zara,denim,Spring
90,AGOLDE,denim,Spring
80,Linen,denim,Spring
80,Plus-size clothing,denim,Spring
80,H&M,denim,Spring
80,Cargo,denim,Spring
70,Coach,denim,Spring
70,PacSun,denim,Spring
60,Poshmark,denim,Spring
50,Dress,denim,Spring
300,Graduation ceremony,dresses,Spring
170,Academic dress,dresses,Spring
140,Summer,dresses,Spring
110,Zara,dresses,Spring
110,LOFT,dresses,Spring
110,JCPenney,dresses,Spring
100,H&M,dresses,Spring
90,Ann Taylor,dresses,Spring
90,LOFT,dresses,Spring
90,Ann Inc.,dresses,Spring
80,Sundress,dresses,Spring
80,Banana Republic,dresses,Spring
70,Macy's,dresses,Spring
70,H&M,dresses,Spring
70,Macy's,dresses,Spring
70,Anthropologie,dresses,Spring
70,Linen,dresses,Spring
70,Anthropologie,dresses,Spring
70,Nordstrom Rack,dresses,Spring
70,Belk,dresses,Spring
50,Nordstrom,dresses,Spring
50,Plus-size clothing,dresses,Spring
450,SKECHERS,pants,Spring
300,Linen,pants,Spring
170,Capri pants,pants,Spring
140,Black tie,pants,Spring
130,SKECHERS,pants,Spring
120,Skechers USA Inc,pants,Spring
110,Chinos,pants,Spring
110,Cargo,pants,Spring
110,H&M,pants,Spring
110,Banana Republic,pants,Spring
100,fit,pants,Spring
100,Wear,pants,Spring
100,Palazzo pants,pants,Spring
100,Levi's,pants,Spring
