value,topic_title,category,season
100,Clothing,clothing,Spring
6,Clothing store,clothing,Spring
5,Brand,clothing,Spring
4,Clothing brand,clothing,Spring
3,Plus-size clothing,clothing,Spring
2,Men's Clothing,clothing,Spring
2,SHEIN,clothing,Spring
1,Fashion,clothing,Spring
1,Boutique,clothing,Spring
1,Cider,clothing,Spring
1,Wholesaling,clothing,Spring
1,Cider,clothing,Spring
1,Vintage clothing,clothing,Spring
1,Children's clothing,clothing,Spring
1,Custom,clothing,Spring
1,H&M,clothing,Spring
1,Revolve,clothing,Spring
0,Zara,clothing,Spring
0,Linen,clothing,Spring
0,Blair,clothing,Spring
0,Sun protective clothing,clothing,Spring
0,Sleeveless shirt,clothing,Spring
0,Urban Outfitters,clothing,Spring
0,Torrid,clothing,Spring
0,Avenue,clothing,Spring
100,Blouse,blouses,Spring
36,Woman,blouses,Spring
11,Top,blouses,Spring
8,Sleeve,blouses,Spring
7,Clothing,blouses,Spring
7,Shirt,blouses,Spring
7,Sweater,blouses,Spring
6,Dress,blouses,Spring
6,White,blouses,Spring
6,Plus-size clothing,blouses,Spring
4,Macy's,blouses,Spring
4,Summer,blouses,Spring
3,T-shirt,blouses,Spring
3,Trousers,blouses,Spring
3,JCPenney,blouses,Spring
3,JCPenney,blouses,Spring
2,Silk,blouses,Spring
2,Kohl's,blouses,Spring
2,Kohl's,blouses,Spring
2,Button,blouses,Spring
2,Cotton,blouses,Spring
2,SHEIN,blouses,Spring
2,Macy's,blouses,Spring
2,Macy's,blouses,Spring
2,Dress shirt,blouses,Spring
100,Denim,denim,Spring
25,Jeans,denim,Spring
22,Jacket,denim,Spring
19,Jean jacket,denim,Spring
13,Woman,denim,Spring
12,Shorts,denim,Spring
8,Shirt,denim,Spring
8,Dress,denim,Spring
7,Jean Shorts,denim,Spring
7,Skirt,denim,Spring
5,Clothing,denim,Spring
5,Trousers,denim,Spring
4,Denim skirt,denim,Spring
4,Blue,denim,Spring
3,Levi's,denim,Spring
3,Levi Strauss & Co.,denim,Spring
2,Handbag,denim,Spring
2,Jumpsuit,denim,Spring
2,Overalls,denim,Spring
2,Sleeve,denim,Spring
2,Levi’s,denim,Spring
2,Top,denim,Spring
2,Plus-size clothing,denim,Spring
2,Denim Day,denim,Spring
2,Waistcoat,denim,Spring
100,Dress,dresses,Spring
22,Clothing,dresses,Spring
